name,desc,info,score
肖申克的救赎,希望让人自由。,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,9.6
霸王别姬,风华绝代。,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.5
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4
阿甘正传,一部美国近现代史。,导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise,9.4
美丽人生,最美的谎言。,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,9.5
千与千寻,最好的宫崎骏，最好的久石让。 ,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.2
泰坦尼克号,失去的才是永恒的。 ,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,9.2
辛德勒的名单,拯救一个人，就是拯救整个世界。,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,9.4
盗梦空间,诺兰给了我们一场无法盗取的梦。,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,9.3
机器人总动员,小瓦力，大人生。,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,9.3
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,9.2
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,9.2
忠犬八公的故事,永远都不能忘记你所爱的人。,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,9.2
